iter	RMSE	RMSE
0	7.735814747	7.735814747
1	7.662994813	7.662994813
2	7.591025278	7.591025278
3	7.519575541	7.519575541
4	7.449188503	7.449188503
5	7.379525119	7.379525119
6	7.310328466	7.310328466
7	7.242061198	7.242061198
8	7.174497374	7.174497374
9	7.107539586	7.107539586
10	7.041444448	7.041444448
11	6.976057818	6.976057818
12	6.911039818	6.911039818
13	6.846892429	6.846892429
14	6.783397286	6.783397286
15	6.720669856	6.720669856
16	6.658343645	6.658343645
17	6.596829512	6.596829512
18	6.536004632	6.536004632
19	6.475632956	6.475632956
20	6.416326261	6.416326261
21	6.357327008	6.357327008
22	6.298988239	6.298988239
23	6.241408615	6.241408615
24	6.184508882	6.184508882
25	6.128222433	6.128222433
26	6.072396444	6.072396444
27	6.017233644	6.017233644
28	5.962577824	5.962577824
29	5.908713123	5.908713123
30	5.855141466	5.855141466
31	5.802349474	5.802349474
32	5.750083109	5.750083109
33	5.698246419	5.698246419
34	5.64707667	5.64707667
35	5.59640418	5.59640418
36	5.546329087	5.546329087
37	5.496849089	5.496849089
38	5.447915882	5.447915882
39	5.399544032	5.399544032
40	5.351654954	5.351654954
41	5.304246935	5.304246935
42	5.257316688	5.257316688
43	5.210967358	5.210967358
44	5.165067803	5.165067803
45	5.119681962	5.119681962
46	5.074711952	5.074711952
47	5.030279707	5.030279707
48	4.986246958	4.986246958
49	4.942830508	4.942830508
50	4.900025309	4.900025309
51	4.857671347	4.857671347
52	4.815674929	4.815674929
53	4.77414457	4.77414457
54	4.733063211	4.733063211
55	4.692601495	4.692601495
56	4.65241026	4.65241026
57	4.612837708	4.612837708
58	4.573680681	4.573680681
59	4.535029391	4.535029391
60	4.496716615	4.496716615
61	4.458835329	4.458835329
62	4.421324572	4.421324572
63	4.384266522	4.384266522
64	4.34775131	4.34775131
65	4.311575258	4.311575258
66	4.275824534	4.275824534
67	4.240459724	4.240459724
68	4.205497279	4.205497279
69	4.17096386	4.17096386
70	4.13681469	4.13681469
71	4.103122022	4.103122022
72	4.069776808	4.069776808
73	4.036785465	4.036785465
74	4.004211077	4.004211077
75	3.971966019	3.971966019
76	3.940220659	3.940220659
77	3.908930804	3.908930804
78	3.877832363	3.877832363
79	3.847202116	3.847202116
80	3.817066006	3.817066006
81	3.787075421	3.787075421
82	3.757547562	3.757547562
83	3.728256497	3.728256497
84	3.699385047	3.699385047
85	3.670867959	3.670867959
86	3.642664747	3.642664747
87	3.614752829	3.614752829
88	3.587231605	3.587231605
89	3.560067139	3.560067139
90	3.533204574	3.533204574
91	3.506642173	3.506642173
92	3.480396884	3.480396884
93	3.454581401	3.454581401
94	3.429054195	3.429054195
95	3.403888968	3.403888968
96	3.379012534	3.379012534
97	3.354426849	3.354426849
98	3.330089237	3.330089237
99	3.306177647	3.306177647
100	3.282531957	3.282531957
101	3.259125515	3.259125515
102	3.236119457	3.236119457
103	3.213314173	3.213314173
104	3.190796535	3.190796535
105	3.168543048	3.168543048
106	3.146544451	3.146544451
107	3.124796488	3.124796488
108	3.103382363	3.103382363
109	3.082243713	3.082243713
110	3.061433963	3.061433963
111	3.040840775	3.040840775
112	3.020575821	3.020575821
113	3.000573985	3.000573985
114	2.980846707	2.980846707
115	2.961398731	2.961398731
116	2.942162248	2.942162248
117	2.923191312	2.923191312
118	2.904514338	2.904514338
119	2.886101309	2.886101309
120	2.867869172	2.867869172
121	2.849914052	2.849914052
122	2.832194191	2.832194191
123	2.814627318	2.814627318
124	2.797388396	2.797388396
125	2.780363118	2.780363118
126	2.763562942	2.763562942
127	2.747072493	2.747072493
128	2.730733319	2.730733319
129	2.714663759	2.714663759
130	2.698837856	2.698837856
131	2.683154408	2.683154408
132	2.667815998	2.667815998
133	2.652565867	2.652565867
134	2.637616544	2.637616544
135	2.622800197	2.622800197
136	2.608155535	2.608155535
137	2.59379059	2.59379059
138	2.579642341	2.579642341
139	2.565706265	2.565706265
140	2.551992074	2.551992074
141	2.538445763	2.538445763
142	2.525093191	2.525093191
143	2.511992746	2.511992746
144	2.498972538	2.498972538
145	2.486205968	2.486205968
146	2.473599332	2.473599332
147	2.461173489	2.461173489
148	2.448975524	2.448975524
149	2.436913382	2.436913382
150	2.425049445	2.425049445
151	2.413413492	2.413413492
152	2.401899549	2.401899549
153	2.390540909	2.390540909
154	2.379351159	2.379351159
155	2.368316652	2.368316652
156	2.35747084	2.35747084
157	2.34679983	2.34679983
158	2.33630166	2.33630166
159	2.325980181	2.325980181
160	2.315812968	2.315812968
161	2.305771874	2.305771874
162	2.295902915	2.295902915
163	2.286165918	2.286165918
164	2.276567028	2.276567028
165	2.267158996	2.267158996
166	2.25786918	2.25786918
167	2.248752263	2.248752263
168	2.239774041	2.239774041
169	2.230932669	2.230932669
170	2.222225233	2.222225233
171	2.213680213	2.213680213
172	2.205229252	2.205229252
173	2.196961398	2.196961398
174	2.188789372	2.188789372
175	2.180770366	2.180770366
176	2.172880434	2.172880434
177	2.165101429	2.165101429
178	2.157411454	2.157411454
179	2.149854087	2.149854087
180	2.142444171	2.142444171
181	2.135136556	2.135136556
182	2.12795741	2.12795741
183	2.120913312	2.120913312
184	2.113972321	2.113972321
185	2.107153489	2.107153489
186	2.100446114	2.100446114
187	2.093853749	2.093853749
188	2.087355379	2.087355379
189	2.080976408	2.080976408
190	2.074722152	2.074722152
191	2.068536555	2.068536555
192	2.062453918	2.062453918
193	2.056468568	2.056468568
194	2.050605707	2.050605707
195	2.044854545	2.044854545
196	2.039197177	2.039197177
197	2.033667025	2.033667025
