iter	Passed	Remaining
0	7	18581
1	13	17284
2	20	16754
3	27	16865
4	33	16583
5	39	16509
6	45	16276
7	52	16490
8	60	16862
9	69	17218
10	77	17494
11	84	17617
12	91	17550
13	98	17431
14	105	17545
15	112	17521
16	119	17445
17	126	17377
18	133	17468
19	141	17511
20	148	17509
21	157	17720
22	165	17834
23	173	17865
24	180	17837
25	187	17812
26	193	17764
27	202	17842
28	210	17924
29	216	17860
30	224	17887
31	231	17874
32	239	17893
33	246	17913
34	255	17986
35	262	18000
36	269	17952
37	276	17945
38	284	17946
39	292	17961
40	298	17911
41	305	17855
42	311	17826
43	319	17847
44	326	17836
45	334	17850
46	342	17866
47	348	17804
48	357	17862
49	365	17890
50	372	17903
51	381	17938
52	388	17933
53	395	17901
54	404	17963
55	412	17997
56	420	18008
57	427	18000
58	434	17970
59	441	17967
60	449	17969
61	457	17981
62	465	17995
63	473	18013
64	480	17982
65	487	17967
66	494	17971
67	503	18005
68	510	18002
69	518	17993
70	526	18004
71	532	17967
72	541	17986
73	548	17967
74	556	17997
75	564	18005
76	574	18072
77	582	18090
78	590	18099
79	598	18097
80	606	18102
81	613	18100
82	621	18084
83	628	18066
84	636	18077
85	642	18045
86	650	18040
87	657	18026
88	664	18008
89	671	17986
90	680	18003
91	687	17987
92	694	17984
93	701	17956
94	707	17914
95	714	17894
96	724	17943
97	732	17944
98	739	17933
99	746	17923
100	754	17914
101	761	17893
102	767	17864
103	775	17858
104	782	17848
105	789	17832
106	795	17799
107	802	17780
108	809	17747
109	816	17737
110	824	17742
111	832	17752
112	840	17750
113	847	17729
114	853	17707
115	859	17674
116	866	17652
117	876	17689
118	886	17738
119	894	17746
120	902	17749
121	909	17731
122	917	17723
123	923	17692
124	931	17698
125	938	17688
126	945	17663
127	952	17644
128	958	17622
129	965	17603
130	973	17611
131	980	17592
132	986	17561
133	995	17583
134	1002	17570
135	1009	17554
136	1018	17568
137	1026	17562
138	1033	17553
139	1040	17538
140	1048	17534
141	1055	17522
142	1062	17518
143	1070	17516
144	1079	17531
145	1088	17550
146	1096	17554
147	1103	17534
148	1110	17523
149	1118	17527
150	1126	17519
151	1133	17504
152	1141	17505
153	1149	17510
154	1157	17516
155	1164	17495
156	1170	17466
157	1177	17456
158	1184	17442
159	1192	17436
160	1198	17412
161	1204	17384
162	1210	17359
163	1217	17345
164	1224	17323
165	1231	17313
166	1238	17306
167	1245	17293
168	1251	17268
169	1258	17242
170	1264	17221
171	1271	17203
172	1278	17194
173	1287	17205
174	1294	17195
175	1301	17179
176	1307	17159
177	1316	17176
178	1325	17181
179	1333	17189
180	1342	17202
181	1349	17192
182	1358	17194
183	1366	17194
184	1372	17175
185	1379	17165
186	1386	17153
187	1393	17133
188	1400	17121
189	1407	17108
190	1414	17094
191	1421	17086
192	1428	17072
193	1431	17019
194	1438	17002
195	1444	16983
196	1451	16970
197	1460	16983
